     Pays de destination,Date,Value
     Arabie Saoudite,2003-09-01,28.1
     Bangladesh,2003-09-01,0.0
     Corée du Nord,2003-09-01,0.0
     Corée du Sud,2003-09-01,19.2
     Emirats Arabes Unis,2003-09-01,0.0
     Hong-Kong,2003-09-01,0.0
     Iran,2003-09-01,0.0
     Japon,2003-09-01,739.9
     Pakistan,2003-09-01,0.0
     Rép. Pop. de Chine,2003-09-01,1513.1
     Taiwan,2003-09-01,0.0
     Union Indienne,2003-09-01,713.1
     Autres pays d'Asie,2003-09-01,617.1
III. AFRIQUE,2003-09-01,9315.5
     Afrique du Sud,2003-09-01,811.4
     Djibouti,2003-09-01,0.0
     Kenya,2003-09-01,1964.8
     Ouganda,2003-09-01,3255.7
     R.D.C. (1),2003-09-01,58.0
     Rwanda,2003-09-01,131.9
     Tanzanie,2003-09-01,2431.5
     Zambie,2003-09-01,604.1
     Zimbabwe,2003-09-01,0.0
     Autres pays d'Afrique,2003-09-01,58.1
 IV. AMERIQUE,2003-09-01,1540.6999999999998
     Etats-Unis ,2003-09-01,1494.6
     Canada,2003-09-01,46.1
     Autres pays d'Amérique,2003-09-01,0.0
  V. OCEANIE,2003-09-01,0.0
     Australie,2003-09-01,0.0
     Autres pays de l'Océanie,2003-09-01,0.0
 VI. PAYS NON SPECIFIES,2003-09-01,86.3
TOTAL,2003-09-01,19226.0
  I. EUROPE,2003-10-01,4355.1
   1. Union Européenne,2003-10-01,4170.6
     Allemagne,2003-10-01,695.0
     Belgique - Luxembourg,2003-10-01,1662.7
     Danemark,2003-10-01,301.8
     Espagne,2003-10-01,19.4
     France,2003-10-01,708.2
     Grèce,2003-10-01,0.0
     Irlande,2003-10-01,2.2
     Italie,2003-10-01,256.3
     Pays-Bas,2003-10-01,392.9
     Portugal,2003-10-01,0.0
     Roumanie,2003-10-01,0.0
     Autres pays de l'U.E.,2003-10-01,132.1
   2. AUTRES,2003-10-01,184.5
     Suisse,2003-10-01,35.3
    Turquie,2003-10-01,22.5
     Royaume-Uni,2003-10-01,57.1
     Russie,2003-10-01,1.2
     Autres pays d'Europe,2003-10-01,68.4
II. ASIE,2003-10-01,3044.4000000000005
     Arabie Saoudite,2003-10-01,0.0
     Bangladesh,2003-10-01,51.3
     Corée du Nord,2003-10-01,0.0
     Corée du Sud,2003-10-01,78.7
     Emirats Arabes Unis,2003-10-01,0.0
     Hong-Kong,2003-10-01,34.2
     Iran,2003-10-01,0.0
     Japon,2003-10-01,619.0
     Pakistan,2003-10-01,0.0
     Rép. Pop. de Chine,2003-10-01,535.1
     Taiwan,2003-10-01,0.0
     Union Indienne,2003-10-01,1109.9
     Autres pays d'Asie,2003-10-01,616.2
III. AFRIQUE,2003-10-01,6274.700000000001
     Afrique du Sud,2003-10-01,620.4
     Djibouti,2003-10-01,0.0
     Kenya,2003-10-01,2511.2
     Ouganda,2003-10-01,303.8
     R.D.C. (1),2003-10-01,100.3
     Rwanda,2003-10-01,51.1
     Tanzanie,2003-10-01,1038.0
     Zambie,2003-10-01,807.1
     Zimbabwe,2003-10-01,18.8
     Autres pays d'Afrique,2003-10-01,824.0
 IV. AMERIQUE,2003-10-01,261.5
     Etats-Unis ,2003-10-01,140.0
     Canada,2003-10-01,101.0
     Autres pays d'Amérique,2003-10-01,20.5
  V. OCEANIE,2003-10-01,0.0
     Australie,2003-10-01,0.0
     Autres pays de l'Océanie,2003-10-01,0.0
 VI. PAYS NON SPECIFIES,2003-10-01,4.2
TOTAL,2003-10-01,13939.900000000001
  I. EUROPE,2003-11-01,3922.3999999999996
   1. Union Européenne,2003-11-01,3724.2
     Allemagne,2003-11-01,284.6
     Belgique - Luxembourg,2003-11-01,1111.5
     Danemark,2003-11-01,417.3
     Espagne,2003-11-01,22.3
     France,2003-11-01,1433.6
     Grèce,2003-11-01,…
     Irlande,2003-11-01,0
     Italie,2003-11-01,91.1
     Pays-Bas,2003-11-01,331.3
     Portugal,2003-11-01,0
     Roumanie,2003-11-01,18.6
     Autres pays de l'U.E.,2003-11-01,13.9
   2. AUTRES,2003-11-01,198.2
     Suisse,2003-11-01,114.8
    Turquie,2003-11-01,0
     Royaume-Uni,2003-11-01,32.1
     Russie,2003-11-01,0
     Autres pays d'Europe,2003-11-01,51.3
II. ASIE,2003-11-01,2796.2
     Arabie Saoudite,2003-11-01,20.1
     Bangladesh,2003-11-01,0
     Corée du Nord,2003-11-01,0
     Corée du Sud,2003-11-01,18.3
     Emirats Arabes Unis,2003-11-01,0
     Hong-Kong,2003-11-01,38.8
     Iran,2003-11-01,0
     Japon,2003-11-01,512.5
     Pakistan,2003-11-01,23.7
     Rép. Pop. de Chine,2003-11-01,443.5
     Taiwan,2003-11-01,0
     Union Indienne,2003-11-01,758
     Autres pays d'Asie,2003-11-01,981.3
III. AFRIQUE,2003-11-01,7485.9
     Afrique du Sud,2003-11-01,431.8
     Djibouti,2003-11-01,0
     Kenya,2003-11-01,2147.1
     Ouganda,2003-11-01,2307.7
     R.D.C. (1),2003-11-01,43
     Rwanda,2003-11-01,14.5
     Tanzanie,2003-11-01,835.4
     Zambie,2003-11-01,481.7
     Zimbabwe,2003-11-01,0
     Autres pays d'Afrique,2003-11-01,1224.7
 IV. AMERIQUE,2003-11-01,302.5
     Etats-Unis ,2003-11-01,227.1
     Canada,2003-11-01,38.4
     Autres pays d'Amérique,2003-11-01,37
  V. OCEANIE,2003-11-01,0
     Australie,2003-11-01,0
     Autres pays de l'Océanie,2003-11-01,0
 VI. PAYS NON SPECIFIES,2003-11-01,1285.1
TOTAL,2003-11-01,15792.1
  I. EUROPE,2003-12-01,3910.3
   1. Union Européenne,2003-12-01,3648.6000000000004
     Allemagne,2003-12-01,360.9
     Belgique - Luxembourg,2003-12-01,1640.5
     Danemark,2003-12-01,205.8
     Espagne,2003-12-01,1.1
     France,2003-12-01,897.1
     Grèce,2003-12-01,0.0
     Irlande,2003-12-01,0.0
     Italie,2003-12-01,185.9
     Pays-Bas,2003-12-01,351.4
     Portugal,2003-12-01,0.0
     Roumanie,2003-12-01,0.0
     Autres pays de l'U.E.,2003-12-01,5.9
   2. AUTRES,2003-12-01,261.7
     Suisse,2003-12-01,76.0
    Turquie,2003-12-01,0.0
     Royaume-Uni,2003-12-01,56.2
     Russie,2003-12-01,23.2
     Autres pays d'Europe,2003-12-01,106.3
II. ASIE,2003-12-01,2042.0
     Arabie Saoudite,2003-12-01,33.0
     Bangladesh,2003-12-01,0.0
     Corée du Nord,2003-12-01,1.1
     Corée du Sud,2003-12-01,10.5
     Emirats Arabes Unis,2003-12-01,0.0
     Hong-Kong,2003-12-01,40.0
     Iran,2003-12-01,0.0
     Japon,2003-12-01,466.6
     Pakistan,2003-12-01,0.0
     Rép. Pop. de Chine,2003-12-01,452.7
     Taiwan,2003-12-01,4.0
     Union Indienne,2003-12-01,613.7
     Autres pays d'Asie,2003-12-01,420.4
III. AFRIQUE,2003-12-01,9957.800000000001
     Afrique du Sud,2003-12-01,486.5
     Djibouti,2003-12-01,0.0
     Kenya,2003-12-01,2389.2
     Ouganda,2003-12-01,2448.2
     R.D.C. (1),2003-12-01,113.5
     Rwanda,2003-12-01,27.0
     Tanzanie,2003-12-01,3341.3
     Zambie,2003-12-01,622.1
     Zimbabwe,2003-12-01,73.4
     Autres pays d'Afrique,2003-12-01,456.6
 IV. AMERIQUE,2003-12-01,479.4
     Etats-Unis ,2003-12-01,410.2
     Canada,2003-12-01,49.9
     Autres pays d'Amérique,2003-12-01,19.3
  V. OCEANIE,2003-12-01,0.0
     Australie,2003-12-01,0.0
     Autres pays de l'Océanie,2003-12-01,0.0
 VI. PAYS NON SPECIFIES,2003-12-01,17.2
TOTAL,2003-12-01,16406.700000000004
  I. EUROPE,2004-01-01,6071.900000000001
   1. Union Européenne,2004-01-01,5846.1
     Allemagne,2004-01-01,471.4
     Belgique - Luxembourg,2004-01-01,2375.9
     Danemark,2004-01-01,159.6
     Espagne,2004-01-01,52.3
     France,2004-01-01,2072.4
     Grèce,2004-01-01,0.0
     Irlande,2004-01-01,0.0
     Italie,2004-01-01,295.0
     Pays-Bas,2004-01-01,409.6
     Portugal,2004-01-01,0.0
     Roumanie,2004-01-01,0.0
     Autres pays de l'U.E.,2004-01-01,9.9
   2. AUTRES,2004-01-01,225.8
     Suisse,2004-01-01,4.0
    Turquie,2004-01-01,47.5
     Royaume-Uni,2004-01-01,36.4
     Russie,2004-01-01,0.0
     Autres pays d'Europe,2004-01-01,137.9
II. ASIE,2004-01-01,3772.6
     Arabie Saoudite,2004-01-01,24.3
     Bangladesh,2004-01-01,71.8
     Corée du Nord,2004-01-01,0.0
     Corée du Sud,2004-01-01,318.6
     Emirats Arabes Unis,2004-01-01,0.0
     Hong-Kong,2004-01-01,8.2
     Iran,2004-01-01,20.3
     Japon,2004-01-01,1880.5
     Pakistan,2004-01-01,0.0
     Rép. Pop. de Chine,2004-01-01,0.0
     Taiwan,2004-01-01,0.0
     Union Indienne,2004-01-01,980.5
     Autres pays d'Asie,2004-01-01,468.4
III. AFRIQUE,2004-01-01,3601.0999999999995
     Afrique du Sud,2004-01-01,194.7
     Djibouti,2004-01-01,0.0
     Kenya,2004-01-01,1545.6
     Ouganda,2004-01-01,313.0
     R.D.C. (1),2004-01-01,81.9
     Rwanda,2004-01-01,34.2
     Tanzanie,2004-01-01,817.8
     Zambie,2004-01-01,476.2
     Zimbabwe,2004-01-01,18.7
     Autres pays d'Afrique,2004-01-01,119.0
 IV. AMERIQUE,2004-01-01,225.60000000000002
     Etats-Unis ,2004-01-01,45.4
     Canada,2004-01-01,37.9
     Autres pays d'Amérique,2004-01-01,142.3
  V. OCEANIE,2004-01-01,0.0
     Australie,2004-01-01,0.0
     Autres pays de l'Océanie,2004-01-01,0.0
 VI. PAYS NON SPECIFIES,2004-01-01,411.8
